Time ms,Euler x deg,Euler y deg,Euler z deg,Quat w,Quat y,Quat x,Quat z,Accel x m/s^2,Accel y m/s^2,Accel z m/s^2,Magnet x uT,Magnet y uT,Magnet z uT,Gravity x m/s^2,Gravity y m/s^2,Gravity z m/s^2,Linear x m/s^2,Linear y m/s^2,Linear z m/s^2,Gyro x rad/s,Gyro y rad/s,Gyro z rad/s,BNO Temp *C,Calibration,BME Temp *C,BME Pressure Pa, BME Altitude m,Time ms,Time (s) Zeroed,Altitude (m)
20005582,7,87,4294967295,0.7071,-0.7054,-0.0199,-0.0446,39.34,2.99,-7.03,-25.5,-2.375,9,9.8,0.33,0.04,29.54,-6.11,12.87,0.1444,-0.0089,0.0689,41,331,41.86776,85847,1376,20005652,0,0
20005740,6,88,4294967295,0.7073,-0.7057,-0.0137,-0.0378,39.34,8.26,1.88,-25.875,-1.6875,8.5,9.8,0.32,0.03,29.54,1.59,15.36,0.2856,0,0.0378,41.01968,331,41.89236,85817,1379,20005795,0.143,3
20005881,5,88,4294967295,0.7089,-0.7042,-0.0151,-0.0368,39.34,2.38,3.99,-26.6875,-0.6875,9.875,9.8,0.3,0.07,29.54,1.91,-2.95,-0.0789,0.0011,-0.0711,41.04592,331,41.9246,85770,1383,20005939,0.287,7
20006027,7,87,4294967294,0.7068,-0.7059,-0.01,-0.0454,39.34,2.15,-1.73,-26.6875,-2.5,11.6875,9.79,0.54,0.01,29.55,1.31,-1.18,0.0722,-0.0956,-0.3056,41.07216,331,41.9578,85735,1387,20006080,0.428,11
20006168,9,84,4294967122,0.6998,-0.712,0.0135,-0.0571,39.34,1.64,-2.4,-24.75,-3.25,9.875,9.74,1.07,-0.17,29.6,0.22,0.02,0.0944,-0.1633,-0.5144,41.11808,331,42.0148,85660,1394,20006221,0.569,18
20006309,13,79,4294967194,0.6894,-0.7188,0.0413,-0.0797,39.34,0.23,-0.84,-23.5625,-6.6875,12.1875,9.62,1.83,-0.4,29.72,-1.97,-0.9,-0.0856,-0.1611,-0.5478,41.17712,331,42.08836,85567,1403,20006369,0.717,27
20006455,18,75,4294967194,0.679,-0.723,0.0593,-0.1125,39.34,-1.58,-1.02,-21.1875,-10.1875,11.75,9.47,2.45,-0.52,29.87,-4.1,-0.67,-0.1644,-0.1089,-0.36,41.24928,331,42.1776,85445,1414,20006510,0.858,38
20006598,21,73,4294967193,0.6725,-0.726,0.0699,-0.1251,39.34,-2.85,-0.92,-21.0625,-13.5,13.5,9.4,2.7,-0.65,29.94,-5.37,0.9,0.37,-0.06,0.0011,41.32144,331,42.2678,85335,1425,20006656,1.004,49
20006744,16,74,4294967188,0.6697,-0.7314,0.0856,-0.0952,39.34,-1.79,-0.5,-20.875,-11.5,15.75,9.46,2.42,-0.85,29.87,-3.32,0.51,0.6933,0.0856,0.3733,41.38704,331,42.3518,85260,1435,20006799,1.147,59
20006885,7,77,4294967181,0.672,-0.733,0.0985,-0.0389,39.34,0.76,-0.6,-22.6875,-10.6875,15,9.6,1.77,-0.91,29.74,-0.63,0.28,0.5067,0.1222,0.4078,41.43296,331,42.40648,85156,1442,20006938,1.286,66
